dataset_name,category,source,last_updated,record_count,file_size_mb
Cloud Storage Inventory,Cloud Management,AWS S3,2024-11-13,4300,1.9
Server Patch Status,System Updates,WSUS,2024-11-06,5100,2.2
Internal Audit Reports,Compliance,Audit Department,2024-10-18,800,1.3
Employee Satisfaction Surveys,HR Surveys,SurveyMonkey,2024-10-16,2700,1.5
Contractor Records,HR Database,Workday,2024-10-22,3500,1.1
Project Management Logs,PMO,Jira,2024-11-08,11400,4.4
File Access Logs,Security Logs,Windows Server,2024-11-13,31000,9.6
Privileged Account Access,PAM Monitoring,CyberArk,2024-11-10,2400,1.7
Business Continuity Plans,BCP Documentation,Internal SharePoint,2024-10-25,500,0.7
Customer Support Chats,Support Desk,Freshdesk,2024-11-09,20800,6.3
Email Delivery Logs,Email Server,Exchange Online,2024-11-12,39000,11.0
WAF Events,Web Security,AWS WAF,2024-11-13,22000,7.4
Bot Traffic Logs,Web Analytics,Cloudflare,2024-11-11,26000,8.6
Compromised Credentials,Threat Intelligence,Dark Web Feed,2024-11-10,8900,3.5
Suspicious IP Blacklist,Threat Intelligence,External Feed,2024-11-07,4800,2.0
SaaS Audit Logs,Cloud Applications,Google Workspace,2024-11-05,17800,5.7
Partner Access Logs,External Access,Vendor Portal,2024-11-12,2400,1.5
Ticket Resolution Metrics,IT Service,ServiceNow,2024-11-10,12000,4.9
Critical Alerts Dashboard,System Monitoring,Elastic Stack,2024-11-13,14500,5.3
Code Repository Changes,DevOps,GitHub Enterprise,2024-11-07,18000,6.1
CI/CD Pipeline Logs,DevOps,Jenkins,2024-11-11,19500,6.9
Container Events,Cloud Native,Kubernetes,2024-11-13,17300,5.6
Cloud Billing Usage,Finance,AWS Billing,2024-11-06,13000,4.7
QA Test Results,Quality Control,TestRail,2024-11-02,9200,3.8
Mobile Device Logs,MDM,Intune,2024-11-10,7200,2.4
Network Bandwidth Usage,Network Analytics,SolarWinds,2024-11-11,25800,9.9
Password Reset Logs,Identity Management,Okta,2024-11-12,8500,2.3
Policy Violation Logs,Compliance,System Alerts,2024-11-11,3900,1.6
Threat Hunting Notes,Security Operations,Internal SOC,2024-11-13,2700,1.2
Application Deployment Logs,DevOps,GitLab CI,2024-11-08,15800,6.5
Cloud API Calls,Cloud Monitoring,Azure Monitor,2024-11-12,43000,12.1
Failed Payment Attempts,Finance,Stripe API,2024-10-30,7800,2.9
Customer Demographics,Sales,CRM System,2024-10-20,15400,3.6
Software License Inventory,IT Audit,License Portal,2024-11-06,3200,1.1
IoT Device Events,IoT Monitoring,IoT Hub,2024-11-09,21000,7.2
Backup Integrity Results,Backup Monitoring,Veeam,2024-11-12,9200,3.2
Security Policy Acknowledgements,Compliance,HR Portal,2024-10-27,4100,1.4
File Transfer Logs,Data Movement,SFTP Server,2024-11-11,6800,2.7
Printer Usage Logs,Office Equipment,Printer Server,2024-10-28,2400,1.0
Meeting Attendance Records,Office Management,Microsoft Teams,2024-11-05,7800,2.2
Endpoint Performance Metrics,Device Monitoring,Intune,2024-11-12,9700,3.5
Workstation Inventory,Asset Management,CMDB,2024-11-09,12500,4.1
Server Inventory,Asset Management,CMDB,2024-11-09,3900,2.9
Power Consumption Data,Facilities,Smart Metering System,2024-11-10,14500,5.0
Security Awareness Quiz Results,Training,Learning Portal,2024-10-31,5200,1.3
Video Surveillance Exports,Physical Security,CCTV System,2024-11-01,8200,4.9
Cloud Resource Inventory,Cloud Management,AWS Config,2024-11-11,3700,2.6
Remote Desktop Connections,Security Logs,RDP Gateway,2024-11-12,6800,2.2
Service Outage Reports,IT Operations,System Monitor,2024-11-07,1500,1.8
Work From Home Activity Logs,Remote Work,VPN Server,2024-11-10,11200,3.8
Contract Renewals,Procurement,ERP System,2024-10-19,1200,0.6
Vendor Risk Assessments,Compliance,Third-Party Portal,2024-10-29,1900,1.0
