date,incident_type,severity,status,description,reported_by
2025-01-02,Unauthorized Access,High,Investigating,Account used from foreign country,henry
2025-01-03,Phishing,Medium,Open,Student account targeted with fake scholarship email,linda
2025-01-04,Vulnerability Exploit,High,Closed,Patched outdated application,bill
2025-01-05,Spyware,Medium,Closed,Unauthorized tracking script removed,emma
2025-01-06,Malware,High,Open,Device repeatedly crashes due to infection,oliver
2025-01-07,Phishing,Medium,Closed,Suspicious link disabled by security filters,alice
2025-01-08,Ransomware,Critical,Investigating,Encrypted backups discovered,tina
2025-01-09,Data Leak,High,Open,Internal document posted on public website,claire
2025-01-10,Phishing,Medium,Closed,User reported spear-phishing attempt,ben
2025-01-11,Unauthorized Access,High,Open,Multiple failed admin logins detected,mark
2025-01-12,DDOS,Medium,Mitigating,Traffic rerouted to mitigation service,tom
2025-01-13,Malware,High,Open,Executable spreading across shared folders,john
2025-01-14,Bruteforce Attack,Low,Closed,Scripted attack blocked automatically,sophia
2025-01-15,Phishing,Medium,Investigating,Employee responded to fake HR message,linda
2025-01-16,Data Breach,Critical,Mitigating,Sensitive data found in compromised email account,maria
2025-01-17,Malware,Medium,Closed,Infected USB device cleaned,henry
2025-01-18,Phishing,Low,Closed,Marketing team received spam campaign,emma
2025-01-19,Insider Threat,High,Investigating,Employee modifying system logs,chris
2025-01-20,Unauthorized Access,Medium,Open,VPN accessed outside normal hours,adam
2025-01-21,Ransomware,Critical,Open,Ransom note found on server storage,steve
2025-01-22,Virus,Low,Closed,Old malware quarantined,liam
2025-01-23,Phishing,Medium,Open,User accidentally shared MFA code,linda
2025-01-24,DDOS,High,Mitigating,Network latency caused by attack,jane
2025-01-25,Malware,High,Closed,Backdoor removed from endpoint,ben
2025-01-26,Data Leak,Medium,Investigating,Confidential file shared with contractor,sophia
2025-01-27,Phishing,Medium,Open,Fake HR payroll email detected,alice
2025-01-28,Bruteforce Attack,Medium,Open,Password guessing attack ongoing,mark
2025-01-29,Spyware,Low,Closed,Browser hijacker uninstalled,tina
2025-01-30,Phishing,Medium,Closed,User flagged fake login prompt,rachel
2025-01-31,Ransomware,Critical,Investigating,Critical system encrypted,john
2025-02-01,Data Breach,Critical,Open,Compromised admin account detected,maria
2025-02-02,Malware,Medium,Closed,Malicious script removed from server,kevin
2025-02-03,Unauthorized Access,High,Mitigating,Attempt to bypass MFA detected,emma
2025-02-04,Phishing,Medium,Open,Fake banking alert sent to staff,alice
2025-02-05,DDOS,Medium,Closed,Traffic back to normal,tom
2025-02-06,Malware,High,Open,Unusual outbound connections observed,henry
2025-02-07,Privilege Escalation Attempt,High,Investigating,Unauthorized sudo attempt logged,chris
2025-02-08,Phishing,Medium,Closed,Link blocked by email filter,linda
2025-02-09,Ransomware,Critical,Open,New strain detected on network,steve
2025-02-10,Data Leak,High,Investigating,Partner dataset exposed by accident,jane
